,last_name,full_name,type,state,district
0,Brown,Sherrod Brown,sen,OH,
1,Cantwell,Maria Cantwell,sen,WA,
2,Cardin,Benjamin L. Cardin,sen,MD,
3,Carper,Thomas R. Carper,sen,DE,
4,Casey,"Robert P. Casey, Jr.",sen,PA,
5,Klobuchar,Amy Klobuchar,sen,MN,
6,Menendez,Robert Menendez,sen,NJ,
7,Sanders,Bernard Sanders,sen,VT,
8,Stabenow,Debbie Stabenow,sen,MI,
9,Tester,Jon Tester,sen,MT,
10,Whitehouse,Sheldon Whitehouse,sen,RI,
11,Barrasso,John Barrasso,sen,WY,
12,Wicker,Roger F. Wicker,sen,MS,
13,Collins,Susan M. Collins,sen,ME,
14,Cornyn,John Cornyn,sen,TX,
15,Durbin,Richard J. Durbin,sen,IL,
16,Graham,Lindsey Graham,sen,SC,
17,McConnell,Mitch McConnell,sen,KY,
18,Merkley,Jeff Merkley,sen,OR,
19,Reed,Jack Reed,sen,RI,
20,Risch,James E. Risch,sen,ID,
21,Shaheen,Jeanne Shaheen,sen,NH,
22,Warner,Mark R. Warner,sen,VA,
23,Gillibrand,Kirsten E. Gillibrand,sen,NY,
24,Coons,Christopher A. Coons,sen,DE,
25,Manchin,"Joe Manchin, III",sen,WV,
26,Aderholt,Robert B. Aderholt,rep,AL,4.0
27,Baldwin,Tammy Baldwin,sen,WI,
28,Bennet,Michael F. Bennet,sen,CO,
29,Bilirakis,Gus M. Bilirakis,rep,FL,12.0
30,Bishop,"Sanford D. Bishop, Jr.",rep,GA,2.0
31,Blackburn,Marsha Blackburn,sen,TN,
32,Blumenauer,Earl Blumenauer,rep,OR,3.0
33,Blumenthal,Richard Blumenthal,sen,CT,
34,Boozman,John Boozman,sen,AR,
35,Buchanan,Vern Buchanan,rep,FL,16.0
36,Bucshon,Larry Bucshon,rep,IN,8.0
37,Burgess,Michael C. Burgess,rep,TX,26.0
38,Calvert,Ken Calvert,rep,CA,41.0
39,Capito,Shelley Moore Capito,sen,WV,
40,Carson,André Carson,rep,IN,7.0
41,Carter,John R. Carter,rep,TX,31.0
42,Cassidy,Bill Cassidy,sen,LA,
43,Castor,Kathy Castor,rep,FL,14.0
44,Chu,Judy Chu,rep,CA,28.0
45,Clarke,Yvette D. Clarke,rep,NY,9.0
46,Cleaver,Emanuel Cleaver,rep,MO,5.0
47,Clyburn,James E. Clyburn,rep,SC,6.0
48,Cohen,Steve Cohen,rep,TN,9.0
49,Cole,Tom Cole,rep,OK,4.0
50,Connolly,Gerald E. Connolly,rep,VA,11.0
51,Costa,Jim Costa,rep,CA,21.0
52,Courtney,Joe Courtney,rep,CT,2.0
53,Crapo,Mike Crapo,sen,ID,
54,Crawford,"Eric A. ""Rick"" Crawford",rep,AR,1.0
55,Cuellar,Henry Cuellar,rep,TX,28.0
56,Davis,Danny K. Davis,rep,IL,7.0
57,DeGette,Diana DeGette,rep,CO,1.0
58,DeLauro,Rosa L. DeLauro,rep,CT,3.0
59,DesJarlais,Scott DesJarlais,rep,TN,4.0
60,Diaz-Balart,Mario Diaz-Balart,rep,FL,26.0
61,Doggett,Lloyd Doggett,rep,TX,37.0
