id,vote,name,party, and for other purpose
0,district,vote,name,party
1,4,No,"Rep. Robert Aderholt [R, 1997-2024]",Republican
2,1,No,"Rep. Rob Bishop [R, 2003-2020]",Republican
3,2,Aye,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
4,3,Aye,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
5,8,No,"Rep. Kevin Brady [R, 1997-2022]",Republican
6,26,No,"Rep. Michael Burgess [R, 2003-2024]",Republican
7,42,No,"Rep. Ken Calvert [R, 2013-2022]",Republican
8,31,No,"Rep. John R. Carter [R, 2003-2024]",Republican
9,1,Aye,"Rep. Ed Case [D, 2019-2024]",Democrat
10,1,No,"Rep. Steve Chabot [R, 2011-2022]",Republican
11,1,Aye,"Rep. Lacy Clay [D, 2001-2020]",Democrat
12,6,Aye,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
13,4,No,"Rep. Tom Cole [R, 2003-2024]",Republican
14,5,Aye,"Rep. Jim Cooper [D, 2003-2022]",Democrat
15,7,Aye,"Rep. Elijah Cummings [D, 1996-2019]",Democrat
16,7,Aye,"Rep. Danny Davis [D, 1997-2024]",Democrat
17,53,Aye,"Rep. Susan Davis [D, 2003-2020]",Democrat
18,4,Aye,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
19,1,Aye,"Rep. Diana DeGette [D, 1997-2024]",Democrat
20,3,Aye,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
21,25,No,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
22,35,Aye,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
23,18,Aye,"Rep. Michael Doyle [D, 2019-2022]",Democrat
24,16,Aye,"Rep. Eliot Engel [D, 2013-2020]",Democrat
25,18,Aye,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
26,12,No,"Rep. Kay Granger [R, 1997-2024]",Republican
27,6,No,"Rep. Sam Graves [R, 2001-2024]",Republican
28,3,Aye,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
29,20,Not Voting,"Rep. Alcee Hastings [D, 2013-2021]",Democrat
30,5,Aye,"Rep. Steny Hoyer [D, 1981-2024]",Democrat
31,18,Aye,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
32,30,Aye,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat
33,9,Aye,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat
34,3,Aye,"Rep. Ron Kind [D, 1997-2022]",Democrat
35,2,No,"Rep. Peter “Pete” King [R, 2013-2020]",Republican
36,4,No,"Rep. Steve King [R, 2013-2020]",Republican
37,2,Aye,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
38,2,Aye,"Rep. Rick Larsen [D, 2001-2024]",Democrat
39,1,Aye,"Rep. John Larson [D, 1999-2024]",Democrat
40,13,Aye,"Rep. Barbara Lee [D, 2013-2022]",Democrat
41,5,Aye,"Rep. John R. Lewis [D, 1987-2020]",Democrat
42,19,Aye,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
43,17,Aye,"Rep. Nita Lowey [D, 2013-2020]",Democrat
44,3,No,"Rep. Frank Lucas [R, 2003-2024]",Republican
45,8,Aye,"Rep. Stephen Lynch [D, 2013-2024]",Democrat
46,12,Aye,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
47,4,Aye,"Rep. Betty McCollum [D, 2001-2024]",Democrat
48,2,Aye,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat
49,5,Aye,"Rep. Gregory Meeks [D, 2013-2024]",Democrat
50,10,Aye,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
51,32,Aye,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
52,1,Aye,"Rep. Richard Neal [D, 2013-2024]",Democrat
53,22,No,"Rep. Devin Nunes [R, 2013-2021]",Republican
54,6,Aye,"Rep. Frank Pallone [D, 1993-2024]",Democrat
55,9,Aye,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
56,7,Aye,"Rep. Collin Peterson [D, 1991-2020]",Democrat
57,4,Aye,"Rep. David Price [D, 1997-2022]",Democrat
58,5,No,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican
59,3,No,"Rep. Mike Rogers [R, 2003-2024]",Republican
60,40,Aye,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
61,2,Aye,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat
62,1,Aye,"Rep. Bobby Rush [D, 1993-2022]",Democrat
63,13,Aye,"Rep. Tim Ryan [D, 2013-2022]",Democrat
64,38,Aye,"Rep. Linda Sánchez [D, 2013-2024]",Democrat
65,9,Aye,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat
66,28,Aye,"Rep. Adam Schiff [D, 2013-2022]",Democrat
67,13,Aye,"Rep. David Scott [D, 2003-2024]",Democrat
68,3,Aye,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat
69,5,Not Voting,"Rep. James Sensenbrenner [R, 2003-2020]",Republican
70,15,Aye,"Rep. José Serrano [D, 2013-2020]",Democrat
71,30,Aye,"Rep. Brad Sherman [D, 2013-2022]",Democrat
72,15,No,"Rep. John Shimkus [R, 2013-2020]",Republican
73,2,No,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican
74,9,Aye,"Rep. Adam Smith [D, 1997-2024]",Democrat
75,4,No,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican
76,2,Aye,"Rep. Bennie Thompson [D, 1993-2024]",Democrat
77,5,Aye,"Rep. Mike Thompson [D, 2013-2022]",Democrat
78,13,No,"Rep. Mac Thornberry [R, 1995-2020]",Republican
79,10,No,"Rep. Michael Turner [R, 2013-2024]",Republican
80,6,No,"Rep. Fred Upton [R, 1993-2022]",Republican
81,7,Aye,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
82,1,Aye,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
