id,vote,name,party, Foreign Operations, and Energy and Water Development Appropriations Act, 2020
0,district,vote,name,party,,
1,4,Nay,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,
2,1,Nay,"Rep. Rob Bishop [R, 2003-2020]",Republican,,
3,2,Yea,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,
4,3,Yea,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,
5,8,Nay,"Rep. Kevin Brady [R, 1997-2022]",Republican,,
6,26,Nay,"Rep. Michael Burgess [R, 2003-2024]",Republican,,
7,42,Nay,"Rep. Ken Calvert [R, 2013-2022]",Republican,,
8,31,Nay,"Rep. John R. Carter [R, 2003-2024]",Republican,,
9,1,Yea,"Rep. Ed Case [D, 2019-2024]",Democrat,,
10,1,Nay,"Rep. Steve Chabot [R, 2011-2022]",Republican,,
11,1,Yea,"Rep. Lacy Clay [D, 2001-2020]",Democrat,,
12,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,
13,4,Nay,"Rep. Tom Cole [R, 2003-2024]",Republican,,
14,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,
15,7,Yea,"Rep. Elijah Cummings [D, 1996-2019]",Democrat,,
16,7,Yea,"Rep. Danny Davis [D, 1997-2024]",Democrat,,
17,53,Yea,"Rep. Susan Davis [D, 2003-2020]",Democrat,,
18,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,
19,1,Yea,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,
20,3,Yea,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,
21,25,Nay,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,
22,35,Yea,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,
23,18,Yea,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,
24,16,Yea,"Rep. Eliot Engel [D, 2013-2020]",Democrat,,
25,18,Yea,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,
26,12,Nay,"Rep. Kay Granger [R, 1997-2024]",Republican,,
27,6,Nay,"Rep. Sam Graves [R, 2001-2024]",Republican,,
28,3,Yea,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,
29,20,Not Voting,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,,
30,5,Yea,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,
31,18,Yea,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,
32,30,Yea,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,
33,9,Yea,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,
34,3,Yea,"Rep. Ron Kind [D, 1997-2022]",Democrat,,
35,2,Nay,"Rep. Peter “Pete” King [R, 2013-2020]",Republican,,
36,4,Nay,"Rep. Steve King [R, 2013-2020]",Republican,,
37,2,Yea,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,
38,2,Yea,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,
39,1,Yea,"Rep. John Larson [D, 1999-2024]",Democrat,,
40,13,Yea,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,
41,5,Yea,"Rep. John R. Lewis [D, 1987-2020]",Democrat,,
42,19,Yea,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,
43,17,Yea,"Rep. Nita Lowey [D, 2013-2020]",Democrat,,
44,3,Nay,"Rep. Frank Lucas [R, 2003-2024]",Republican,,
45,8,Yea,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,
46,12,Yea,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,
47,4,Yea,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,
48,2,Yea,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,
49,5,Yea,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,
50,10,Yea,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,
51,32,Yea,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,
52,1,Yea,"Rep. Richard Neal [D, 2013-2024]",Democrat,,
53,22,Nay,"Rep. Devin Nunes [R, 2013-2021]",Republican,,
54,6,Yea,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,
55,9,Yea,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,
56,7,Nay,"Rep. Collin Peterson [D, 1991-2020]",Democrat,,
57,4,Yea,"Rep. David Price [D, 1997-2022]",Democrat,,
58,5,Nay,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,
59,3,Nay,"Rep. Mike Rogers [R, 2003-2024]",Republican,,
60,40,Yea,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,
61,2,Yea,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,
62,1,Yea,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,
63,13,Yea,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,
64,38,Yea,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,
65,9,Yea,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,
66,28,Yea,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,
67,13,Yea,"Rep. David Scott [D, 2003-2024]",Democrat,,
68,3,Yea,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,
69,5,Nay,"Rep. James Sensenbrenner [R, 2003-2020]",Republican,,
70,15,Yea,"Rep. José Serrano [D, 2013-2020]",Democrat,,
71,30,Yea,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,
72,15,Nay,"Rep. John Shimkus [R, 2013-2020]",Republican,,
73,2,Nay,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,
74,9,Yea,"Rep. Adam Smith [D, 1997-2024]",Democrat,,
75,4,Nay,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,
76,2,Yea,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,
77,5,Yea,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,
78,13,Nay,"Rep. Mac Thornberry [R, 1995-2020]",Republican,,
79,10,Nay,"Rep. Michael Turner [R, 2013-2024]",Republican,,
80,6,Nay,"Rep. Fred Upton [R, 1993-2022]",Republican,,
81,7,Yea,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,
82,1,Yea,"Rep. Peter Visclosky [D, 1985-2020]",Democrat,,
83,2,Nay,"Rep. Greg Walden [R, 1999-2020]",Republican,,
84,43,Yea,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,
85,2,Nay,"Rep. Joe Wilson [R, 2001-2024]",Republican,,
86,0,Nay,"Rep. Don Young [R, 1973-2022]",Republican,,
87,1,Yea,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,
88,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat,,
89,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,
90,3,Yea,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,,
91,5,Yea,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,
92,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,
93,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,
