id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
0,district,vote,name,party,,,,,,,,,,,,,,
1,4,Not Voting,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,,,,,,,,,,,,,
2,1,No,"Rep. Rob Bishop [R, 2003-2020]",Republican,,,,,,,,,,,,,,
3,2,Aye,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,,,,,,,,,,,,,
4,3,Aye,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,,,,,,,,,,,,,
5,8,No,"Rep. Kevin Brady [R, 1997-2022]",Republican,,,,,,,,,,,,,,
6,26,No,"Rep. Michael Burgess [R, 2003-2024]",Republican,,,,,,,,,,,,,,
7,42,No,"Rep. Ken Calvert [R, 2013-2022]",Republican,,,,,,,,,,,,,,
8,31,No,"Rep. John R. Carter [R, 2003-2024]",Republican,,,,,,,,,,,,,,
9,1,Aye,"Rep. Ed Case [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
10,1,No,"Rep. Steve Chabot [R, 2011-2022]",Republican,,,,,,,,,,,,,,
11,1,Aye,"Rep. Lacy Clay [D, 2001-2020]",Democrat,,,,,,,,,,,,,,
12,6,Aye,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,,,,,,,,,,,
13,4,No,"Rep. Tom Cole [R, 2003-2024]",Republican,,,,,,,,,,,,,,
14,5,Aye,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,,,,,,,,,,,,,
15,7,Aye,"Rep. Danny Davis [D, 1997-2024]",Democrat,,,,,,,,,,,,,,
16,53,Aye,"Rep. Susan Davis [D, 2003-2020]",Democrat,,,,,,,,,,,,,,
17,4,Aye,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,,,,,,,,,,,,,
18,1,Aye,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,,,,,,,,,,,,,
19,3,Aye,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,,,,,,,,,,,,,
20,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,,,,,,,,,,,,,
21,35,Aye,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
22,18,Aye,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
23,16,Aye,"Rep. Eliot Engel [D, 2013-2020]",Democrat,,,,,,,,,,,,,,
24,18,Aye,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
25,12,No,"Rep. Kay Granger [R, 1997-2024]",Republican,,,,,,,,,,,,,,
26,6,No,"Rep. Sam Graves [R, 2001-2024]",Republican,,,,,,,,,,,,,,
27,3,Aye,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
28,20,Aye,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,,,,,,,,,,,,,,
29,5,Aye,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,,,,,,,,,,,,,
30,18,Aye,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,,,,,,,,,,,,,
31,30,Aye,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,,,,,,,,,,,,,
32,9,Aye,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,,,,,,,,,,,,,
33,3,Aye,"Rep. Ron Kind [D, 1997-2022]",Democrat,,,,,,,,,,,,,,
34,2,Aye,"Rep. Peter “Pete” King [R, 2013-2020]",Republican,,,,,,,,,,,,,,
35,4,No,"Rep. Steve King [R, 2013-2020]",Republican,,,,,,,,,,,,,,
36,2,Aye,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,,,,,,,,,,,,,
37,2,Aye,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,,,,,,,,,,,,,
