id,vote,name,party, 6, 7, and 8.
0,district,vote,name,party,,
1,4,Yea,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,
2,1,Yea,"Rep. Rob Bishop [R, 2003-2020]",Republican,,
3,2,Nay,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,
4,3,Nay,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,
5,8,Yea,"Rep. Kevin Brady [R, 1997-2022]",Republican,,
6,26,Yea,"Rep. Michael Burgess [R, 2003-2024]",Republican,,
7,42,Yea,"Rep. Ken Calvert [R, 2013-2022]",Republican,,
8,31,Nay,"Rep. John R. Carter [R, 2003-2024]",Republican,,
9,1,Nay,"Rep. Ed Case [D, 2019-2024]",Democrat,,
10,1,Yea,"Rep. Steve Chabot [R, 2011-2022]",Republican,,
11,1,Nay,"Rep. Lacy Clay [D, 2001-2020]",Democrat,,
12,6,Nay,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,
13,4,Yea,"Rep. Tom Cole [R, 2003-2024]",Republican,,
14,5,Nay,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,
15,7,Nay,"Rep. Danny Davis [D, 1997-2024]",Democrat,,
16,53,Nay,"Rep. Susan Davis [D, 2003-2020]",Democrat,,
17,4,Nay,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,
18,1,Nay,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,
19,3,Nay,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,
20,25,Yea,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,
21,35,Nay,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,
22,18,Nay,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,
23,16,Nay,"Rep. Eliot Engel [D, 2013-2020]",Democrat,,
24,18,Nay,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,
25,12,Nay,"Rep. Kay Granger [R, 1997-2024]",Republican,,
26,6,Yea,"Rep. Sam Graves [R, 2001-2024]",Republican,,
27,3,Nay,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,
28,20,Nay,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,,
29,5,Nay,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,
30,18,Nay,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,
31,30,Nay,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,
32,9,Nay,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,
33,3,Nay,"Rep. Ron Kind [D, 1997-2022]",Democrat,,
34,2,Nay,"Rep. Peter “Pete” King [R, 2013-2020]",Republican,,
35,4,Not Voting,"Rep. Steve King [R, 2013-2020]",Republican,,
36,2,Nay,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,
37,2,Nay,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,
38,1,Nay,"Rep. John Larson [D, 1999-2024]",Democrat,,
39,13,Nay,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,
40,5,Nay,"Rep. John R. Lewis [D, 1987-2020]",Democrat,,
41,19,Nay,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,
42,17,Nay,"Rep. Nita Lowey [D, 2013-2020]",Democrat,,
43,3,Yea,"Rep. Frank Lucas [R, 2003-2024]",Republican,,
44,8,Nay,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,
45,12,Nay,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,
46,4,Nay,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,
47,2,Nay,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,
48,5,Nay,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,
49,10,Nay,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,
50,32,Nay,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,
51,1,Nay,"Rep. Richard Neal [D, 2013-2024]",Democrat,,
52,22,Yea,"Rep. Devin Nunes [R, 2013-2021]",Republican,,
53,6,Nay,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,
54,9,Nay,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,
