id,vote,name,party, 8, 9, 10, 13, 17, 18, 21, 22, 23, 24, 27, 28, 29, 31, 33, 39, 58, 61, 64, 65, 70, 72, 78, 83,Unnamed: 29
0,district,vote,name,party,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Nay,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Nay,"Rep. Rob Bishop [R, 2003-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
3,2,Yea,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Yea,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
5,8,Nay,"Rep. Kevin Brady [R, 1997-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
6,26,Nay,"Rep. Michael Burgess [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
7,42,Nay,"Rep. Ken Calvert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
8,31,Nay,"Rep. John R. Carter [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Yea,"Rep. Ed Case [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
10,1,Nay,"Rep. Steve Chabot [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
11,1,Yea,"Rep. Lacy Clay [D, 2001-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
12,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
13,4,Nay,"Rep. Tom Cole [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
14,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
15,7,Yea,"Rep. Danny Davis [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
16,53,Yea,"Rep. Susan Davis [D, 2003-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
17,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
18,1,Yea,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
19,3,Yea,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
20,25,Nay,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
21,35,Yea,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
22,18,Yea,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
23,16,Yea,"Rep. Eliot Engel [D, 2013-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
24,18,Yea,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
25,12,Nay,"Rep. Kay Granger [R, 1997-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
26,6,Nay,"Rep. Sam Graves [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
27,3,Yea,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
28,20,Yea,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
29,5,Yea,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
30,18,Yea,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
31,30,Yea,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
32,9,Yea,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
33,3,Yea,"Rep. Ron Kind [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
34,2,Nay,"Rep. Peter “Pete” King [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
35,4,Nay,"Rep. Steve King [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
36,2,Yea,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
37,2,Yea,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
38,1,Yea,"Rep. John Larson [D, 1999-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
39,13,Yea,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
40,19,Yea,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
41,17,Yea,"Rep. Nita Lowey [D, 2013-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
42,3,Nay,"Rep. Frank Lucas [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
43,8,Yea,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
44,12,Yea,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
45,4,Yea,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
46,2,Yea,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
47,5,Yea,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
48,10,Yea,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
49,32,Yea,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
50,1,Yea,"Rep. Richard Neal [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
51,22,Nay,"Rep. Devin Nunes [R, 2013-2021]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
52,6,Yea,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
53,9,Yea,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
54,7,Nay,"Rep. Collin Peterson [D, 1991-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
55,4,Yea,"Rep. David Price [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
56,5,Nay,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
57,3,Nay,"Rep. Mike Rogers [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
58,40,Yea,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
