id,vote,name,party, 45, 77, 78, 79, 80, 81, 82, 98, 107, 120, 122, 125, 134, and 135.
0,district,vote,name,party,,,,,,,,,,,,,
1,4,Yea,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,,,,,,,,,,,,
2,2,Nay,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,,,,,,,,,,,,
3,3,Nay,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,,,,,,,,,,,,
4,8,Yea,"Rep. Kevin Brady [R, 1997-2022]",Republican,,,,,,,,,,,,,
5,26,Yea,"Rep. Michael Burgess [R, 2003-2024]",Republican,,,,,,,,,,,,,
6,42,Yea,"Rep. Ken Calvert [R, 2013-2022]",Republican,,,,,,,,,,,,,
7,31,Yea,"Rep. John R. Carter [R, 2003-2024]",Republican,,,,,,,,,,,,,
8,1,Nay,"Rep. Ed Case [D, 2019-2024]",Democrat,,,,,,,,,,,,,
9,1,Yea,"Rep. Steve Chabot [R, 2011-2022]",Republican,,,,,,,,,,,,,
10,6,Nay,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,,,,,,,,,,
11,4,Yea,"Rep. Tom Cole [R, 2003-2024]",Republican,,,,,,,,,,,,,
12,5,Nay,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,,,,,,,,,,,,
13,7,Nay,"Rep. Danny Davis [D, 1997-2024]",Democrat,,,,,,,,,,,,,
14,4,Nay,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,,,,,,,,,,,,
15,1,Nay,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,,,,,,,,,,,,
16,3,Nay,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,,,,,,,,,,,,
17,25,Yea,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,,,,,,,,,,,,
18,35,Not Voting,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,,,,,,,,,,,,
19,18,Nay,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,,,,,,,,,,,,
20,18,Nay,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,,,,,,,,,,,,
21,12,Yea,"Rep. Kay Granger [R, 1997-2024]",Republican,,,,,,,,,,,,,
22,6,Yea,"Rep. Sam Graves [R, 2001-2024]",Republican,,,,,,,,,,,,,
23,3,Nay,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,,,,,,,,,,,,
24,5,Nay,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,,,,,,,,,,,,
25,50,Not Voting,"Rep. Darrell Issa [R, 2021-2022]",Republican,,,,,,,,,,,,,
26,18,Nay,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,,,,,,,,,,,,
27,30,Nay,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,,,,,,,,,,,,
28,9,Nay,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,,,,,,,,,,,,
29,3,Nay,"Rep. Ron Kind [D, 1997-2022]",Democrat,,,,,,,,,,,,,
30,2,Nay,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,,,,,,,,,,,,
31,2,Nay,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,,,,,,,,,,,,
32,1,Nay,"Rep. John Larson [D, 1999-2024]",Democrat,,,,,,,,,,,,,
33,13,Nay,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,,,,,,,,,,,,
34,19,Nay,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,,,,,,,,,,,,
35,3,Yea,"Rep. Frank Lucas [R, 2003-2024]",Republican,,,,,,,,,,,,,
36,8,Nay,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,,,,,,,,,,,,
37,12,Nay,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,
38,4,Nay,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,,,,,,,,,,,,
39,2,Nay,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,,,,,,,,,,,,
40,5,Nay,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,,,,,,,,,,,,
