id,vote,name,party, 113, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 
0,district,vote,name,party,,,,,,,,,,,,,,,,
1,4,Yea,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,,,,,,,,,,,,,,,
2,2,Yea,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,
3,3,Yea,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,,,,,,,,,,,,,,,
4,8,Yea,"Rep. Kevin Brady [R, 1997-2022]",Republican,,,,,,,,,,,,,,,,
5,26,Nay,"Rep. Michael Burgess [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,
6,42,Nay,"Rep. Ken Calvert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
7,31,Yea,"Rep. John R. Carter [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,
8,1,Yea,"Rep. Ed Case [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
9,1,Yea,"Rep. Steve Chabot [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
10,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,
11,4,Yea,"Rep. Tom Cole [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,
12,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,,,,,,,,,,,,,,,
13,7,Yea,"Rep. Danny Davis [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,
14,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,,,,,,,,,,,,,,,
15,1,Yea,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,
16,3,Yea,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,,,,,,,,,,,,,,,
17,25,Nay,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
18,35,Yea,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
19,18,Yea,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
20,18,Yea,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
21,12,Yea,"Rep. Kay Granger [R, 1997-2024]",Republican,,,,,,,,,,,,,,,,
22,6,Yea,"Rep. Sam Graves [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,
23,3,Yea,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
24,5,Yea,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,,,,,,,,,,,,,,,
25,50,Yea,"Rep. Darrell Issa [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
26,18,Yea,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,,,,,,,,,,,,,,,
27,30,Yea,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,,,,,,,,,,,,,,,
28,9,Yea,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,,,,,,,,,,,,,,,
29,3,Yea,"Rep. Ron Kind [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,
30,2,Yea,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,,,,,,,,,,,,,,,
31,2,Yea,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,
32,1,Yea,"Rep. John Larson [D, 1999-2024]",Democrat,,,,,,,,,,,,,,,,
33,13,Yea,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
34,19,Yea,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
35,3,Yea,"Rep. Frank Lucas [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,
36,8,Yea,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
37,12,Yea,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
38,4,Yea,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,
