id,vote,name,party, 79, 83, 97, 118, 128, 139, 151, and 160.
0,district,vote,name,party,,,,,,,
1,4,Aye,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,,,,,,
2,2,No,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,,,,,,
3,3,No,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,,,,,,
4,8,Aye,"Rep. Kevin Brady [R, 1997-2022]",Republican,,,,,,,
5,26,Aye,"Rep. Michael Burgess [R, 2003-2024]",Republican,,,,,,,
6,42,Aye,"Rep. Ken Calvert [R, 2013-2022]",Republican,,,,,,,
7,31,Aye,"Rep. John R. Carter [R, 2003-2024]",Republican,,,,,,,
8,1,No,"Rep. Ed Case [D, 2019-2024]",Democrat,,,,,,,
9,1,Aye,"Rep. Steve Chabot [R, 2011-2022]",Republican,,,,,,,
10,6,No,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,,,,
11,4,Aye,"Rep. Tom Cole [R, 2003-2024]",Republican,,,,,,,
12,5,No,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,,,,,,
13,7,No,"Rep. Danny Davis [D, 1997-2024]",Democrat,,,,,,,
14,4,No,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,,,,,,
15,1,No,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,,,,,,
16,3,No,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,,,,,,
17,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,,,,,,
18,35,No,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,,,,,,
19,18,No,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,,,,,,
20,18,No,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,,,,,,
21,12,Aye,"Rep. Kay Granger [R, 1997-2024]",Republican,,,,,,,
22,6,Aye,"Rep. Sam Graves [R, 2001-2024]",Republican,,,,,,,
23,3,No,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,,,,,,
24,5,No,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,,,,,,
25,50,Aye,"Rep. Darrell Issa [R, 2021-2022]",Republican,,,,,,,
26,18,No,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,,,,,,
27,30,No,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,,,,,,
28,9,No,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,,,,,,
29,3,No,"Rep. Ron Kind [D, 1997-2022]",Democrat,,,,,,,
30,2,No,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,,,,,,
31,2,No,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,,,,,,
32,1,No,"Rep. John Larson [D, 1999-2024]",Democrat,,,,,,,
33,13,No,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,,,,,,
34,19,No,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,,,,,,
35,3,Not Voting,"Rep. Frank Lucas [R, 2003-2024]",Republican,,,,,,,
36,8,No,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,,,,,,
37,12,No,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,,,,,,
38,4,No,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,,,,,,
39,2,No,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,,,,,,
40,5,No,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,,,,,,
41,10,No,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,,,,,,
42,32,No,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,,,,,,
43,1,No,"Rep. Richard Neal [D, 2013-2024]",Democrat,,,,,,,
44,0,No,"Rep. Eleanor Holmes Norton [D, 1991-2024]",Democrat,,,,,,,
45,6,No,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,,,,,,
46,9,No,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,,,,,,
47,4,No,"Rep. David Price [D, 1997-2022]",Democrat,,,,,,,
48,5,Aye,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,,,,,,
49,3,Aye,"Rep. Mike Rogers [R, 2003-2024]",Republican,,,,,,,
50,40,No,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,,,,,,
51,2,No,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,,,,,,
52,1,No,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,,,,,,
53,13,No,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,,,,,,
54,38,No,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,,,,,,
55,9,No,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,,,,,,
56,28,No,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,,,,,,
57,13,No,"Rep. David Scott [D, 2003-2024]",Democrat,,,,,,,
58,3,No,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,,,,,,
59,17,No,"Rep. Pete Sessions [R, 2021-2024]",Republican,,,,,,,
60,30,No,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,,,,,,
61,2,Aye,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,,,,,,
62,9,No,"Rep. Adam Smith [D, 1997-2024]",Democrat,,,,,,,
63,4,Aye,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,
64,2,No,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,
65,5,No,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,
66,10,Aye,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,
67,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,
68,7,No,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,
69,43,No,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,
70,2,Aye,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,
71,1,No,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,
72,16,No,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,
73,23,No,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,
74,5,No,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,
75,26,No,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,
76,5,Aye,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,
77,10,Aye,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,
78,1,Aye,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,
79,9,No,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,
80,10,Aye,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,
81,28,No,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,
82,5,Aye,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,
83,4,No,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,
84,6,No,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,
85,7,No,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,
86,8,No,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,
87,9,No,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,
88,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,
89,5,Aye,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,
90,7,No,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,
91,2,No,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,
92,14,No,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,
93,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,
94,4,No,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,
95,3,No,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,
96,3,No,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,
97,7,Aye,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,
98,3,Aye,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,
99,9,No,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,
100,4,Aye,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,
101,9,No,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,
102,0,No,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,
103,12,Aye,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,
104,1,Aye,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,
105,5,Aye,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,
106,11,No,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,
107,7,No,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,
108,14,No,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,
109,1,Aye,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,
110,11,No,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,
111,2,Aye,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,
112,4,No,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,
113,2,No,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,
114,3,Aye,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,
115,4,Aye,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,
116,1,No,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,
117,8,Aye,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,
118,0,No,"Rep. Gregorio Sablan [D, 2009-2024]",Democrat,,,,,,,
119,5,No,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,
120,15,No,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,
121,1,No,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,
122,20,No,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,
123,5,No,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,
124,27,No,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,
125,3,No,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,
126,22,No,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,
127,5,Aye,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,
128,7,No,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,
129,4,Aye,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,
130,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,
131,1,Aye,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,
132,3,Aye,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,
133,37,No,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,
134,11,Aye,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,
135,24,No,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,
