id,vote,name,party, 33, 34, 36, 37, 40, 42, 46, 47, 48, 49, 50, 52, 56, 57, 59, 60, 61, 64, 65, 69, 74, 75
0,district,vote,name,party,,,,,,,,,,,,,,,,,,,,,
1,4,Aye,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
2,2,Aye,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
3,3,Aye,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
4,8,Aye,"Rep. Kevin Brady [R, 1997-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
5,26,No,"Rep. Michael Burgess [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
6,42,Aye,"Rep. Ken Calvert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
7,31,No,"Rep. John R. Carter [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
8,1,Aye,"Rep. Ed Case [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
9,1,No,"Rep. Steve Chabot [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
10,6,Aye,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
11,4,Aye,"Rep. Tom Cole [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
12,5,Aye,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
13,7,Aye,"Rep. Danny Davis [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
14,4,Aye,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
15,1,Aye,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
16,3,Aye,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
17,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
18,35,Aye,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
19,18,Aye,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
20,18,Aye,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
21,12,Aye,"Rep. Kay Granger [R, 1997-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
22,6,Aye,"Rep. Sam Graves [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
23,3,Aye,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
24,5,Aye,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
25,50,Aye,"Rep. Darrell Issa [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
26,18,Aye,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
27,30,Aye,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
28,9,Aye,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
29,3,Aye,"Rep. Ron Kind [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
30,2,Aye,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
31,2,Aye,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
32,1,Aye,"Rep. John Larson [D, 1999-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
33,13,Aye,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
34,19,Aye,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
35,3,Not Voting,"Rep. Frank Lucas [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
36,8,Aye,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
37,12,Aye,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
38,4,Aye,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
39,2,Aye,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
40,5,Aye,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
41,10,Aye,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
42,32,Aye,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
43,1,Aye,"Rep. Richard Neal [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
44,0,Aye,"Rep. Eleanor Holmes Norton [D, 1991-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
45,6,Aye,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
46,9,Aye,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
47,4,Aye,"Rep. David Price [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
48,5,Aye,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
49,3,Aye,"Rep. Mike Rogers [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
50,40,Aye,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
51,2,Aye,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
52,1,Aye,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
53,13,Aye,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
54,38,Aye,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
55,9,Aye,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
56,28,Aye,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
57,13,Aye,"Rep. David Scott [D, 2003-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
58,3,Aye,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
59,17,Not Voting,"Rep. Pete Sessions [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
60,30,Aye,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
61,2,Aye,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
62,9,Aye,"Rep. Adam Smith [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
63,4,Aye,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
64,2,Aye,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
65,5,Aye,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
66,10,Aye,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
67,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
68,7,Aye,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
69,43,Aye,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
70,2,Aye,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
71,1,Aye,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
72,16,Aye,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
73,23,Aye,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
74,5,Aye,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
75,26,Aye,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
76,5,No,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
77,10,Aye,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
78,1,No,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
79,9,Aye,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
80,10,Aye,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
81,28,Aye,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
82,5,Aye,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
83,4,Aye,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
84,6,Aye,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
85,7,Aye,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
86,8,Aye,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
87,9,Aye,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
88,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
89,5,No,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
90,7,Aye,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
91,2,Aye,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
92,14,Aye,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
93,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
94,4,Aye,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
95,3,Aye,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
96,3,Aye,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
97,7,No,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
98,3,Aye,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
