id,vote,name,party, and Explosives relating to “Factoring Criteria for Firearms with Attached ‘Stabilizing
0,district,vote,name,party
1,4,Yea,Rep. Robert Aderholt [R],Republican
2,2,Nay,Rep. Sanford Bishop [D],Democrat
3,3,Nay,Rep. Earl Blumenauer [D],Democrat
4,26,Yea,Rep. Michael Burgess [R],Republican
5,41,Yea,Rep. Ken Calvert [R],Republican
6,31,Yea,Rep. John R. Carter [R],Republican
7,1,Nay,Rep. Ed Case [D],Democrat
8,6,Nay,Rep. James “Jim” Clyburn [D],Democrat
9,4,Yea,Rep. Tom Cole [R],Republican
10,7,Nay,Rep. Danny Davis [D],Democrat
11,1,Nay,Rep. Diana DeGette [D],Democrat
12,3,Nay,Rep. Rosa DeLauro [D],Democrat
13,26,Yea,Rep. Mario Diaz-Balart [R],Republican
14,37,Nay,Rep. Lloyd Doggett [D],Democrat
15,16,Nay,Rep. Anna Eshoo [D],Democrat
16,12,Yea,Rep. Kay Granger [R],Republican
17,6,Yea,Rep. Sam Graves [R],Republican
18,7,Nay,Rep. Raúl Grijalva [D],Democrat
19,5,Nay,Rep. Steny Hoyer [D],Democrat
20,48,Yea,Rep. Darrell Issa [R],Republican
21,18,Nay,Rep. Sheila Jackson Lee [D],Democrat
22,9,Nay,Rep. Marcy Kaptur [D],Democrat
23,2,Nay,Rep. Rick Larsen [D],Democrat
24,1,Nay,Rep. John Larson [D],Democrat
25,12,Nay,Rep. Barbara Lee [D],Democrat
26,18,Nay,Rep. Zoe Lofgren [D],Democrat
27,3,Yea,Rep. Frank Lucas [R],Republican
28,8,Nay,Rep. Stephen Lynch [D],Democrat
29,4,Nay,Rep. Betty McCollum [D],Democrat
30,2,Nay,Rep. James “Jim” McGovern [D],Democrat
31,5,Nay,Rep. Gregory Meeks [D],Democrat
32,12,Nay,Rep. Jerrold Nadler [D],Democrat
33,31,Nay,Rep. Grace Napolitano [D],Democrat
34,1,Nay,Rep. Richard Neal [D],Democrat
35,6,Nay,Rep. Frank Pallone [D],Democrat
36,9,Nay,Rep. Bill Pascrell [D],Democrat
37,11,Nay,Rep. Nancy Pelosi [D],Democrat
38,5,Yea,Rep. Harold “Hal” Rogers [R],Republican
39,3,Yea,Rep. Mike Rogers [R],Republican
40,2,Nay,Rep. A. Dutch Ruppersberger [D],Democrat
41,38,Nay,Rep. Linda Sánchez [D],Democrat
42,9,Nay,Rep. Janice “Jan” Schakowsky [D],Democrat
43,30,Nay,Rep. Adam Schiff [D],Democrat
44,13,Nay,Rep. David Scott [D],Democrat
45,3,Nay,Rep. Robert “Bobby” Scott [D],Democrat
46,17,Yea,Rep. Pete Sessions [R],Republican
47,32,Nay,Rep. Brad Sherman [D],Democrat
48,2,Yea,Rep. Michael “Mike” Simpson [R],Republican
49,9,Nay,Rep. Adam Smith [D],Democrat
50,4,Yea,Rep. Christopher “Chris” Smith [R],Republican
