id,vote,name,party, 89, 90, 91, 92, 93, 94, 99, 100, 101, 102, 103, and 104.
0,district,vote,name,party,,,,,,,,,,,
1,4,Aye,Rep. Robert Aderholt [R],Republican,,,,,,,,,,,
2,2,Aye,Rep. Sanford Bishop [D],Democrat,,,,,,,,,,,
3,3,Aye,Rep. Earl Blumenauer [D],Democrat,,,,,,,,,,,
4,26,Aye,Rep. Michael Burgess [R],Republican,,,,,,,,,,,
5,41,Aye,Rep. Ken Calvert [R],Republican,,,,,,,,,,,
6,31,Not Voting,Rep. John R. Carter [R],Republican,,,,,,,,,,,
7,1,Aye,Rep. Ed Case [D],Democrat,,,,,,,,,,,
8,6,Aye,Rep. James “Jim” Clyburn [D],Democrat,,,,,,,,,,,
9,4,Aye,Rep. Tom Cole [R],Republican,,,,,,,,,,,
10,7,No,Rep. Danny Davis [D],Democrat,,,,,,,,,,,
11,1,Aye,Rep. Diana DeGette [D],Democrat,,,,,,,,,,,
12,3,Aye,Rep. Rosa DeLauro [D],Democrat,,,,,,,,,,,
13,26,Aye,Rep. Mario Diaz-Balart [R],Republican,,,,,,,,,,,
14,37,Aye,Rep. Lloyd Doggett [D],Democrat,,,,,,,,,,,
15,16,Aye,Rep. Anna Eshoo [D],Democrat,,,,,,,,,,,
16,12,Not Voting,Rep. Kay Granger [R],Republican,,,,,,,,,,,
17,6,Aye,Rep. Sam Graves [R],Republican,,,,,,,,,,,
18,7,No,Rep. Raúl Grijalva [D],Democrat,,,,,,,,,,,
19,5,Aye,Rep. Steny Hoyer [D],Democrat,,,,,,,,,,,
20,48,Not Voting,Rep. Darrell Issa [R],Republican,,,,,,,,,,,
21,18,Aye,Rep. Sheila Jackson Lee [D],Democrat,,,,,,,,,,,
22,9,Aye,Rep. Marcy Kaptur [D],Democrat,,,,,,,,,,,
23,2,Aye,Rep. Rick Larsen [D],Democrat,,,,,,,,,,,
24,1,Aye,Rep. John Larson [D],Democrat,,,,,,,,,,,
25,12,No,Rep. Barbara Lee [D],Democrat,,,,,,,,,,,
26,18,Aye,Rep. Zoe Lofgren [D],Democrat,,,,,,,,,,,
27,3,Aye,Rep. Frank Lucas [R],Republican,,,,,,,,,,,
28,8,Aye,Rep. Stephen Lynch [D],Democrat,,,,,,,,,,,
29,4,Aye,Rep. Betty McCollum [D],Democrat,,,,,,,,,,,
30,2,No,Rep. James “Jim” McGovern [D],Democrat,,,,,,,,,,,
31,5,Aye,Rep. Gregory Meeks [D],Democrat,,,,,,,,,,,
32,12,No,Rep. Jerrold Nadler [D],Democrat,,,,,,,,,,,
33,31,Aye,Rep. Grace Napolitano [D],Democrat,,,,,,,,,,,
34,1,Aye,Rep. Richard Neal [D],Democrat,,,,,,,,,,,
35,0,Aye,Rep. Eleanor Holmes Norton [D],Democrat,,,,,,,,,,,
36,6,No,Rep. Frank Pallone [D],Democrat,,,,,,,,,,,
37,9,No,Rep. Bill Pascrell [D],Democrat,,,,,,,,,,,
38,11,Aye,Rep. Nancy Pelosi [D],Democrat,,,,,,,,,,,
39,5,Aye,Rep. Harold “Hal” Rogers [R],Republican,,,,,,,,,,,
40,3,Aye,Rep. Mike Rogers [R],Republican,,,,,,,,,,,
41,2,Aye,Rep. A. Dutch Ruppersberger [D],Democrat,,,,,,,,,,,
42,38,No,Rep. Linda Sánchez [D],Democrat,,,,,,,,,,,
