id,vote,name,party, 404, 405, 544, 549, and 550.
0,district,vote,name,party,,,,
1,4,No,Rep. Robert Aderholt [R],Republican,,,,
2,2,Aye,Rep. Sanford Bishop [D],Democrat,,,,
3,3,Aye,Rep. Earl Blumenauer [D],Democrat,,,,
4,26,No,Rep. Michael Burgess [R],Republican,,,,
5,41,No,Rep. Ken Calvert [R],Republican,,,,
6,31,Not Voting,Rep. John R. Carter [R],Republican,,,,
7,1,Aye,Rep. Ed Case [D],Democrat,,,,
8,6,Aye,Rep. James “Jim” Clyburn [D],Democrat,,,,
9,4,No,Rep. Tom Cole [R],Republican,,,,
10,7,Aye,Rep. Danny Davis [D],Democrat,,,,
11,1,Aye,Rep. Diana DeGette [D],Democrat,,,,
12,3,Aye,Rep. Rosa DeLauro [D],Democrat,,,,
13,26,No,Rep. Mario Diaz-Balart [R],Republican,,,,
14,37,Aye,Rep. Lloyd Doggett [D],Democrat,,,,
15,16,Aye,Rep. Anna Eshoo [D],Democrat,,,,
16,12,No,Rep. Kay Granger [R],Republican,,,,
17,6,No,Rep. Sam Graves [R],Republican,,,,
18,7,Aye,Rep. Raúl Grijalva [D],Democrat,,,,
19,5,Aye,Rep. Steny Hoyer [D],Democrat,,,,
20,48,No,Rep. Darrell Issa [R],Republican,,,,
21,18,Aye,Rep. Sheila Jackson Lee [D],Democrat,,,,
22,9,No,Rep. Marcy Kaptur [D],Democrat,,,,
23,2,Aye,Rep. Rick Larsen [D],Democrat,,,,
24,1,Aye,Rep. John Larson [D],Democrat,,,,
25,12,Aye,Rep. Barbara Lee [D],Democrat,,,,
26,18,Aye,Rep. Zoe Lofgren [D],Democrat,,,,
27,3,No,Rep. Frank Lucas [R],Republican,,,,
28,8,Aye,Rep. Stephen Lynch [D],Democrat,,,,
29,4,Aye,Rep. Betty McCollum [D],Democrat,,,,
30,2,Aye,Rep. James “Jim” McGovern [D],Democrat,,,,
31,5,Aye,Rep. Gregory Meeks [D],Democrat,,,,
32,12,Aye,Rep. Jerrold Nadler [D],Democrat,,,,
33,31,Aye,Rep. Grace Napolitano [D],Democrat,,,,
34,1,Aye,Rep. Richard Neal [D],Democrat,,,,
35,0,Aye,Rep. Eleanor Holmes Norton [D],Democrat,,,,
36,6,Aye,Rep. Frank Pallone [D],Democrat,,,,
37,9,Aye,Rep. Bill Pascrell [D],Democrat,,,,
38,11,Aye,Rep. Nancy Pelosi [D],Democrat,,,,
39,5,No,Rep. Harold “Hal” Rogers [R],Republican,,,,
40,3,No,Rep. Mike Rogers [R],Republican,,,,
41,2,Aye,Rep. A. Dutch Ruppersberger [D],Democrat,,,,
42,38,Aye,Rep. Linda Sánchez [D],Democrat,,,,
43,9,Aye,Rep. Janice “Jan” Schakowsky [D],Democrat,,,,
44,30,Aye,Rep. Adam Schiff [D],Democrat,,,,
45,13,Aye,Rep. David Scott [D],Democrat,,,,
46,3,Aye,Rep. Robert “Bobby” Scott [D],Democrat,,,,
47,17,No,Rep. Pete Sessions [R],Republican,,,,
48,32,Aye,Rep. Brad Sherman [D],Democrat,,,,
49,2,No,Rep. Michael “Mike” Simpson [R],Republican,,,,
50,9,Aye,Rep. Adam Smith [D],Democrat,,,,
51,4,No,Rep. Christopher “Chris” Smith [R],Republican,,,,
52,2,Aye,Rep. Bennie Thompson [D],Democrat,,,,
53,4,Aye,Rep. Mike Thompson [D],Democrat,,,,
54,10,No,Rep. Michael Turner [R],Republican,,,,
55,7,Aye,Rep. Nydia Velázquez [D],Democrat,,,,
56,43,Aye,Rep. Maxine Waters [D],Democrat,,,,
57,2,No,Rep. Joe Wilson [R],Republican,,,,
58,21,Aye,Rep. Jim Costa [D],Democrat,,,,
59,25,Aye,Rep. Debbie Wasserman Schultz [D],Democrat,,,,
60,5,Aye,Rep. Emanuel Cleaver [D],Democrat,,,,
61,26,Aye,Rep. Brian Higgins [D],Democrat,,,,
62,5,No,Rep. Virginia Foxx [R],Republican,,,,
63,10,No,Rep. Patrick McHenry [R],Republican,,,,
64,9,Aye,Rep. Al Green [D],Democrat,,,,
65,10,No,Rep. Michael McCaul [R],Republican,,,,
66,28,Aye,Rep. Henry Cuellar [D],Democrat,,,,
67,5,No,Rep. Cathy Anne McMorris Rodgers [R],Republican,,,,
68,4,Not Voting,Rep. Gwen Moore [D],Democrat,,,,
69,7,Aye,Rep. Doris Matsui [D],Democrat,,,,
70,7,Aye,Rep. Kweisi Mfume [D],Democrat,,,,
71,20,No,Rep. Kevin McCarthy [R],Republican,,,,
72,5,No,Rep. Doug Lamborn [R],Republican,,,,
73,2,Aye,Rep. Joe Courtney [D],Democrat,,,,
74,14,Aye,Rep. Kathy Castor [D],Democrat,,,,
75,16,No,Rep. Vern Buchanan [R],Republican,,,,
76,4,Aye,Rep. Henry C. “Hank” Johnson [D],Democrat,,,,
77,3,Aye,Rep. John Sarbanes [D],Democrat,,,,
78,5,No,Rep. Tim Walberg [R],Republican,,,,
79,3,No,Rep. Adrian Smith [R],Republican,,,,
80,9,Aye,Rep. Yvette Clarke [D],Democrat,,,,
81,4,No,Rep. Jim Jordan [R],Republican,,,,
82,9,Aye,Rep. Steve Cohen [D],Democrat,,,,
83,12,No,Rep. Gus Bilirakis [R],Republican,,,,
84,1,No,Rep. Robert Wittman [R],Republican,,,,
85,5,No,Rep. Robert Latta [R],Republican,,,,
86,11,Aye,Rep. Bill Foster [D],Democrat,,,,
87,7,Aye,Rep. André Carson [D],Democrat,,,,
88,1,No,Rep. Steve Scalise [R],Republican,,,,
89,11,Aye,Rep. Gerald Connolly [D],Democrat,,,,
90,2,No,Rep. Brett Guthrie [R],Republican,,,,
91,4,Aye,Rep. James “Jim” Himes [D],Democrat,,,,
92,3,No,Rep. Blaine Luetkemeyer [R],Republican,,,,
93,5,No,Rep. Tom McClintock [R],Republican,,,,
94,1,Aye,Rep. Chellie Pingree [D],Democrat,,,,
95,8,No,Rep. Bill Posey [R],Republican,,,,
96,0,Not Voting,Rep. Gregorio Sablan [D],Democrat,,,,
97,15,No,Rep. Glenn Thompson [R],Republican,,,,
98,1,Aye,Rep. Dina Titus [D],Democrat,,,,
