id,vote,name,party, and staff.
0,district,vote,name,party
1,4,Yea,Rep. Robert Aderholt [R],Republican
2,2,Yea,Rep. Sanford Bishop [D],Democrat
3,3,Nay,Rep. Earl Blumenauer [D],Democrat
4,26,Yea,Rep. Michael Burgess [R],Republican
5,41,Yea,Rep. Ken Calvert [R],Republican
6,31,Yea,Rep. John R. Carter [R],Republican
7,1,Yea,Rep. Ed Case [D],Democrat
8,6,Yea,Rep. James “Jim” Clyburn [D],Democrat
9,4,Yea,Rep. Tom Cole [R],Republican
10,7,Yea,Rep. Danny Davis [D],Democrat
11,1,Yea,Rep. Diana DeGette [D],Democrat
12,3,Yea,Rep. Rosa DeLauro [D],Democrat
13,26,Yea,Rep. Mario Diaz-Balart [R],Republican
14,37,Yea,Rep. Lloyd Doggett [D],Democrat
15,16,Yea,Rep. Anna Eshoo [D],Democrat
16,12,Yea,Rep. Kay Granger [R],Republican
17,6,Yea,Rep. Sam Graves [R],Republican
18,7,Yea,Rep. Raúl Grijalva [D],Democrat
19,5,Yea,Rep. Steny Hoyer [D],Democrat
20,48,Yea,Rep. Darrell Issa [R],Republican
21,18,Not Voting,Rep. Sheila Jackson Lee [D],Democrat
22,9,Yea,Rep. Marcy Kaptur [D],Democrat
23,2,Yea,Rep. Rick Larsen [D],Democrat
24,1,Yea,Rep. John Larson [D],Democrat
25,12,Yea,Rep. Barbara Lee [D],Democrat
26,18,Yea,Rep. Zoe Lofgren [D],Democrat
27,3,Yea,Rep. Frank Lucas [R],Republican
28,8,Yea,Rep. Stephen Lynch [D],Democrat
29,4,Yea,Rep. Betty McCollum [D],Democrat
30,2,Nay,Rep. James “Jim” McGovern [D],Democrat
31,5,Yea,Rep. Gregory Meeks [D],Democrat
32,12,Yea,Rep. Jerrold Nadler [D],Democrat
33,31,Not Voting,Rep. Grace Napolitano [D],Democrat
34,1,Yea,Rep. Richard Neal [D],Democrat
35,6,Yea,Rep. Frank Pallone [D],Democrat
36,9,Yea,Rep. Bill Pascrell [D],Democrat
37,11,Yea,Rep. Nancy Pelosi [D],Democrat
38,5,Yea,Rep. Harold “Hal” Rogers [R],Republican
39,3,Yea,Rep. Mike Rogers [R],Republican
40,2,Yea,Rep. A. Dutch Ruppersberger [D],Democrat
41,38,Yea,Rep. Linda Sánchez [D],Democrat
42,9,Yea,Rep. Janice “Jan” Schakowsky [D],Democrat
43,30,Yea,Rep. Adam Schiff [D],Democrat
44,13,Yea,Rep. David Scott [D],Democrat
45,3,Yea,Rep. Robert “Bobby” Scott [D],Democrat
46,17,Not Voting,Rep. Pete Sessions [R],Republican
47,32,Yea,Rep. Brad Sherman [D],Democrat
48,2,Yea,Rep. Michael “Mike” Simpson [R],Republican
49,9,Yea,Rep. Adam Smith [D],Democrat
50,4,Yea,Rep. Christopher “Chris” Smith [R],Republican
51,2,Yea,Rep. Bennie Thompson [D],Democrat
